丨フ一一一丨一丿丶	是
フ丶丿フ一一フ丿フ丿	能
フ丶丿フ丶一一フ一フ	能
フ丶丿フ丶一一フ丿フ	能
フ丶丿フ丶一一フフ丿	能
フ丶丿フ丶一丿フ一フ	能
フ丶丿フ丶一丿フ丿フ	能
フ丶丿フ丶一丿フフ丿	能
フ丶丿フ丶一フ丿一フ	能
フ丶丿フ丶一フ丿丿フ	能
フ丶丿フ丶一フ丿フ丿	能
丨フ一丿丨丶一一一丨一	唯
丶丶丨丿丨丶一一一丨一	惟
丨丶丶丿丨丶一一一丨一	惟
丶丨丶丿丨丶一一一丨一	惟
丿丨フ丶丿丶	似
丿丨丨一丶丿丶	似
一丨丿丶丨フ一一一丶フ丶丶	想
丶一一一丨フ一丿一丨丨フ一	話
一一一一丨フ一一一丨丨フ一	話
一一一一丨フ一丿一丨丨フ一	話
丶一一一丨フ一一一丨丨フ一	話
一一一一丨フ一丿丶丨フ一丿フ	說
丶一一一丨フ一丿丶丨フ一丿フ	說
丶一一一丨フ一丶丿丨フ一丿フ	説
一一一一丨フ一丶丿丨フ一丿フ	説
丿丿丨丶一一丨一	往
丨フ一一一丨	早
丨フ一一丿フ丨フ一丿フ	晚
丨フ一一フ丿丨フ一丿フ	晚
丨フ一一一丨一一丨丶	時
一丨丨フ一一一一	直
一丨丨フ一一一フ	直
一丿丨フ一一一一	直
一丿丨フ一一一フ	直
一丶丿一丨	平
一丿丶一丨	平
丿丶一丨フ一	合
丨フ一丨フ一丨フ一一一丨	單
丶丶フフフ丨一丨フ一一一丿丶	實
丶丶フフフ一丨丨フ一一一丿丶	實
丶丿一一一丿一丨一	差
丶丿一一丨一丿一丨一	差
一丨一一丨	打
一丨一丨一丿丶	走
丨フ一一丿フ一一	明
一丨丨フ一一一丨丿フ一一	朝
一丨丨フ一一一丨丿フ丶丶	朝
丿丶丶フ	今
丿丶一フ	今
丶一丶丿一一丨丿丶丿丿一丨	新
一丨丨丿丨丶一一一丨一丿丨一フ一一	舊
一丨一丨丿丨丶一一一丨一丿丨一フ一一	舊
一丨丨一丿丨丶一一一丨一丿丨一フ一一	舊
丨一一丨丿丨丶一一一丨一丿丨一フ一一	舊
丨フ一一丶丶フフ丿一	晏
フ一丿丨丶一丿丶丿一一丨丶フ丶	遲
フ一丿一一一一丿一一丨丶フ丶	遲
フ一丿一一一一丿一一丨丶丶フ丶	遲
フ一丿一一一一丿一一丨丶フフ丶	遲
フ一丿丶一丿丶丿一一丨丶フ丶	遲
フ一丿丶一丿丶丿一一丨丶丶フ丶	遲
フ一丿丶一丿丶丿一一丨丶フフ丶	遲
フ一丿丨一一一一丿一一丨丶フ丶	遲
フ一丿丨一一一一丿一一丨丶丶フ丶	遲
フ一丿丨一一一一丿一一丨丶フフ丶	遲
フ一丿丨丶一丿丶丿一一丨丶丶フ丶	遲
フ一丿丨丶一丿丶丿一一丨丶フフ丶	遲
丶丿丨フ丨丶丿一丨フ一一	曾
丿丶丨フ丨丶丿一丨フ一一	曾
丨フ一一丿一丨一一	昨
丶一フ丿	方
丶一丿フ	方
丿一一丿丶丨フ一	知
丿一丶丿一丶フ一フ丨丿	第
丶一一一丨フ一一一丨一丨フ一一	請
一一一一丨フ一一一丨一丨フ一一	請
一一一一丨フ一一一丨一丨フ丨一	請
一一一一丨フ一一一丨一丿フ一一	請
丶一一一丨フ一一一丨一丨フ丨一	請
丶一一一丨フ一一一丨一丿フ一一	請
丶一一一丨フ一丿丨フ一一一丿一丨丶	謝
一一一一丨フ一丿丨フ一一一丿一丨丶	謝
一丨フ一一一丨	車
一丨フ一一丨丿丶	東
一丨丨フ丶丿一一丨	南
一丿丨フ丶丿一一丨	南
一丨フ丿フ一	西
丨一一丿フ	北
丨一一一フ	北
丨一一フ丿	北
一フフ丿	切
丿丶一丨フ一フ丨	命
一丨一丶丿一一丨フ丨フ丶	報
一丨一丶丿一一丨丨フフ丶	報
丿丨一一丿丶丿丶フ一一丶フフ丨一	學
丿丶丿丶丿丨一一フ一一丶フフ丨一	學
丶丶フ丿丨一フ一一丿フ丶丶丶丶	寫
一丨丨一一一	耳
丶一丿丶	文
丿一丶丿一丶一丨一一丨丶	等
丶一一一丨フ一フフ丶丶丶丶フフ丶丶丶丶丿一丿丶	變
一一一一丨フ一フフ丶丨丿丶フフ丶丨丿丶丿一丿丶	變
一一一一丨フ一フフ丶丨丿丶フフ丶丶丶丶丿一丿丶	變
一一一一丨フ一フフ丶丶丶丶フフ丶丨丿丶丿一丿丶	變
一一一一丨フ一フフ丶丶丶丶フフ丶丶丶丶丿一丿丶	變
丶一一一丨フ一フフ丶丨丿丶フフ丶丨丿丶丿一丿丶	變
丶一一一丨フ一フフ丶丨丿丶フフ丶丶丶丶丿一丿丶	變
丶一一一丨フ一フフ丶丶丶丶フフ丶丨丿丶丿一丿丶	變
一丨一丨一丿丶フ一フ	起
丨フフ丨フ丨フ一丶フ丶	過
丨フフ丨フ丨フ一丶丶フ丶	過
丨フフ丨フ丨フ一丶フフ丶	過
丨フ一丨丨フ丨フ一丶フ丶	過
丨フ一丨丨フ丨フ一丶丶フ丶	過
丨フ一丨丨フ丨フ一丶フフ丶	過
丨フ丨一丨フ丨フ一丶フ丶	過
丨フ丨一丨フ丨フ一丶丶フ丶	過
丨フ丨一丨フ丨フ一丶フフ丶	過
フ丨一丿丿フ丶丶一丨丶	將
フ丨一丿丿フ丶一一丨丶	將
丿フ丶丨フ一	各
丿フ丶丨フ一	名
丨フ一丿一フ	吃
丨フ一フ丿	另
フ丿丨フ一	加
丨フ一丿フ丨丨	別
一丨一一フ丿丶	找
一丨一一フ丶丿	找
一丨フ一一丿丶	更
丿フ一一丨	用
丨丶丿丶フ丨フ一丨フ一丨一	當
フ丶丿丿丶フ一フ丿フフ丶	發
フ丶丶丿丿フ一フ丿フフ丶	發
一丨一一一フ丿丶	長
丨一一一一フ丿丶	長
一丨丨丨フ一一丨フ丨一丶	萬
一丨丨丨フ一一丨フフ丶	萬
一丨一丨丨フ一一丨フフ丶	萬
一丨一丨丨フ一一丨フ丨一丶	萬
丨一一丨丨フ一一丨フフ丶	萬
丨一一丨丨フ一一丨フ丨一丶	萬
丿丨丶一一一丨一丿丨丶一一一丨一フ丶	雙
丨フ一丨一フ丿	男
丿一丨一丨フ一	告
丿一一丨丨フ一	吿
丨フ一一丨フ一一丨フ一	問
丨フ丨フ一一	回
丿丶丿丶一丨一	坐
丶一フ丶フ丶丶	忘
丿一一丿丶	失
丶丶フ一一丿フ	完
一丿フフ丿丶	成
一丿フフ丶丿	成
一丨フ一丨丿丶丿一丿丶一丨一丨一	整
一丨一フ丨一フ	把
一丨フ一丶丿一一丿丨フ一一一丿丶	頭
丿フ丨フ一丿フ丿丿丿丶	象
丿フ丨フ丨一丿フ丿丿丿丶	象
丶一フ丿丿丶丨丨	刻
丨フ一一一フ丿	助
丿丨丿フ	化
丿丨一フ	化
丿丨フ丿	化
一丿丿丨フ一一丨丿丶	原
フ丿一フ丶丨フ一	始
フフ丶丶丶丶丿フ丶丶丶	終
フフ丶丨丿丶丿フ丶丶一	終
フフ丶丨丿丶丿フ丶丶丶	終
フフ丶丶丶丶丿フ丶丶一	終
丿丶丶フ丨フ一	含
丿丶一フ丨フ一	含
一丨一丶一丨フ丨丨一丨丶一丿丶丿フ丿丶	壞
一丨一丶一丨フ丨丨一丨一一一一丿フ丿丶	壞
丶一丶丿一丨フ一一丶フ丶丶	意
丨フ一一丿フ丿丿	易
丶一フ丿フ一一一一丨一	望
丶一フ丿フ一一丿一丨一	望
丶一フ丿フ丶丶一一丨一	望
丶一フ丿フ丶丶丿一丨一	望
丶丶一丿一丨一丿フ	洗
丶一丶丿一丨フ一一丨一一	童
丶一丶丿一丨フ一一一丨一	童
一丨丨一一一一一丨一一丨丨フ丨丨一一丶フ丶丶	聽
一丨丨一一一一一丨一一丿丨フ丨丨一一丶フ丶丶	聽
一丨丨一一一丿一丨一一丨丨フ丨丨一一丶フ丶丶	聽
一丨丨一一一丿一丨一一丿丨フ丨丨一一丶フ丶丶	聽
丨フ一一一丿フ	見
丶丶フ一丿フ丿丿丿丶	家
丨フ一一丨フ一一	門
丨丶丿丶フ丨フ一丨フ丨	常
丶丶フ丿フ丶丨フ一	客
丶一丿丨一丨フ一	店
フ一丿フ丨フ一	局
フ一丿一フ丶一丨一	屋
フ一丿丨丶一丿丶丨フ丨丨一丿フ丨フ一丨一丶	屬
フ一丿丨一一一一丨フ丨丨一丿フ丨フ一丨一丶	屬
一丿丨丨一フ丶フ丨フ丨	帶
一丨丨一丿フ丶フ丨フ丨	帶
一丨一一丨一一丨丶	持
フ丨丿一丿丶	收
丨フ丿一丿丶	收
丨フ一一一丨丿丶	果
丶丶一丨フ一丨一	油
丿フフ丨一フ	色
フ丿フ丨一フ	色
フフ丶丶丶丶一フフフ一丨一	經
フフ丶丨丿丶一フフフ一丨一	經
丶一一一丨フ一丶一丨フ一丨フ一一一丨丨一丿フ丿丶	讓
一一一一丨フ一丶一丨フ一丨フ一一一丨丨一丿フ丿丶	讓
一丨丨一丨一丿丨フ一一	著
一丨丨一丨一丿丨フ一一丶	著
一丨一丨一丨一丿丨フ一一	著
一丨一丨一丨一丿丨フ一一丶	著
丨一一丨一丨一丿丨フ一一	著
丨一一丨一丨一丿丨フ一一丶	著
丶丿一一一丿丨フ一一一	着
丶丿一一丨一丿丨フ一一一	着
丿丨丶一一丨一	住
一丨丿丶丶丿一一丨一丶フフ丿丶	樣
丿丨丿一丨一一	作
丿丨丶一一一丨フ一	信
丿丨一一一一丨フ一	信
丿丨一丨丨一丨フ一一	借
丿丨一丨フ丨丨一丨フ一一一丿丶	價
一丿丨フ一一	百
丿一丨	千
丿丨丶一丶丿一丨フ一一丶フ丶丶	億
丨フ一一丨フ一丨フ丿一丿一丿丶	數
丶一丿一丨丨一フ丶	度
丶一丿丿丨丿丨丶一一一丨一丶フ丶丶	應
丿丿一丨丶フ丶	近
丿丿一丨丶丶フ丶	近
丿丿一丨丶フフ丶	近
一丨一丨フ一丿丨丿丶丶フ丶	遠
一丨一丨フ一丿丨丿丶丶丶フ丶	遠
一丨一丨フ一丿丨丿丶丶フフ丶	遠
一丨一丨フ一丿フ丿丶丶フ丶	遠
一丨一丨フ一丿フ丿丶丶丶フ丶	遠
一丨一丨フ一丿フ丿丶丶フフ丶	遠
丶丶丨フ一丿丶	快
丨丶丶フ一丿丶	快
丶丨丶フ一丿丶	快
丶丶丨丨フ一一丨フ丨丨一フ丶	慢
丨丶丶丨フ一一丨フ丨丨一フ丶	慢
丶丨丶丨フ一一丨フ丨丨一フ丶	慢
丶一丨フ一丨フ丨フ一	高
丶一丿丿フ一フ丶	底
丶一丿丿フ一フ一	底
一丨一丿フ一フ丶	抵
一丨一丿フ一フ一	抵
丿一一丿丶丿一丨丿丶フ丿一	矮
丶一丿一丨丨一丨フ一丨一丿丶	廣
丶一丿一丨丨一一丨フ一丨一丿丶	廣
丨フ一一フ丨一フ丿一フ丿フ	號
丿丿丨丿一丨フ一一丿フ丶	復
丿フ一一フ丨フ丶	服
丿フ一一丨フフ丶	服
丿フ丶丶丨フフ丶	服
丿フ丶丶フ丨フ丶	服
一一丨一丨フ一一一丿フ	現
丿フ丶フ丿丨フ一丨一	留
丿フ丿フ丨丨フ一丨一	留
丶丶フ丿丶一丿丶丶	突
丶丶フ丿フ一丿丶丶	突
丨フ丨丨一丨フ一一一丿丶	買
一丨一丨フ丨丨一丨フ一一一丿丶	賣
一丨フ一一一丨一丨フ一一丨一丶一丨丶	轉
丨フ一一丨フ一一丨フ一一	間
一丨一丿丿フ	老
一丨一丿一フ	老
一丨一丿フ丿	老
一丨丨一フ	世
丶一一丨一	主
一丨フ一フ一一丨	事
丶丶フ一一一丨丨フ一	害
丶丶フ一一丨一丨フ一	害
丶丶フ丿一一丨丨フ一	害
丶丶フ丿一丨一丨フ一	害
丿丨丿一丨フ一一一丿フ丿丿	傷
丶一フ	亡
丶一丿丶丿丶	交
丿丨一フ丶	代
丿丨丿一丨一	任
丿丨一一丨一	任
丿丶丿丨	介
フフ丿一	毋
フフ一丿	毋
丿丨フ一一一	自
丿丨フ一丨一	甶
丨フ一丨一丨一丿フ丶丨フ一	路
丨フ一丨一フ丿フ丶丨フ一	路
フ丶一フ丶一丿丨フ一一	習
フ丿丿フ丿丿丿丨フ一一	習
丿一一丨フ丨丨丨	制
丨丶丿丨フ一一丨丨	削
丨丿丶丨フ一一丨丨	削
丨丿丶丿フ一一丨丨	削
丨丿丶丿フ丶一丨丨	削
丨丶丿丿フ一一丨丨	削
丨丶丿丿フ丶一丨丨	削
丿丶丶フ一一丿丨フ一丨丨	創
丿丶一フ一一丿丨フ一丨丨	創
一丨一フ丿	功
フ丿	力
丶丿丿丶丶丿丿丶丶フフ丿	勞
丿一丨フ一一丨一一フ丿	動
丿一丨フ一一一丨一フ丿	動
一丨一丶丿一一丨丿フ丶	執
一丨一丶丿一一丨フ丿丶	執
一丨一丿丿一丨	折
丨フ一一一丿一一フ丿丶	晨
一一丨一一一丿フ	玩
丿一一丨丿フ丿丿	物
丿一丨一丿フ丿丿	物
丶一丶丿一丨一丨フ一	站
丿丨フ一一一丶丶フ丿丶丶一フ丿丶フ丶	邊
丿丨フ一一一丶丶フ丿丶丶一丿フ丶フ丶	邊
丿丨フ一一一丶丶フ丿丶丶一丿フ丶丶フ丶	邊
丿丨フ一一一丶丶フ丿丶丶一丿フ丶フフ丶	邊
丿丨フ一一一丶丶フ丿丶丶一フ丿丶丶フ丶	邊
丿丨フ一一一丶丶フ丿丶丶一フ丿丶フフ丶	邊
丿丨フ一一一丶丶フ丿フ丶一丿フ丶フ丶	邊
丿丨フ一一一丶丶フ丿フ丶一丿フ丶丶フ丶	邊
丿丨フ一一一丶丶フ丿フ丶一丿フ丶フフ丶	邊
丿丨フ一一一丶丶フ丿フ丶一フ丿丶フ丶	邊
丿丨フ一一一丶丶フ丿フ丶一フ丿丶丶フ丶	邊
丿丨フ一一一丶丶フ丿フ丶一フ丿丶フフ丶	邊
丿丨丿丶フ丿	份
丿一丨丨一一丿フ丿丶	乘
丿一丨丨一一一フ丿丶	乘
丿一丨丨一一フ丿丿丶	乘
丿丶丨一丨一	企
丿丨一丨丿丶	休
丿丨丿フ一フ丶	低
丿丨丿フ一フ一	低
丿丨丶一丶丿一	位
丿丨丶一丨フ一丶フ一丨	停
フフ丶フフ丶一フフ丶フフ丶フ丿丿一丨	斷
フフ丶フフ丶フフフ丶フフ丶フ丿丿一丨	斷
丶フ丨丿丶フ丿	初
一丨一丿フ丨フ丿丶一丿丶	換
一丨一丿フ丨フ丿フ一丿丶	換
丶丶一丿一フフ丶一丶	海
丶丶一丿一フフ丶丶一	海
丶丿丿丶丨丿丶丿	炒
丶丿丿丶一丨一一丨一一丨一一丿フ	燒
一丨フ丿フ一一フ一フ	配
丿丶丶フ一一フ丶丿丿フ丶	飯
丿丶一フ一一フ丶一丿フ丶	飯
丿丶一フ一一フ丶丿丿フ丶	飯
丿丶一フ一一丨一一一丿フ丶	飯
丿丶一フ一一丨一一丿丿フ丶	飯
丿丶丶フ一一フ丶一丿フ丶	飯
丿丶丶フ一一丨一一一丿フ丶	飯
丿丶丶フ一一丨一一丿丿フ丶	飯
一丨丿丶丿丶丿丶丿フ丶一丨フフ	麪
一丨丿丶丿丶丿丶丿フ丶一丿丨フ丨丨一一一	麵
丿丶一一丨丶丿一一フ丿丶一フ丿丶	錢
丿丶一一丨丶丿一一フ丿丶一フ丶丿	錢
丿丶一一丨丶丿一一フ丶丿一フ丿丶	錢
丿丶一一丨丶丿一一フ丶丿一フ丶丿	錢
丶一一一丨フ一丿丨丶一一一丨一	誰
一一一一丨フ一丿丨丶一一一丨一	誰
丿丿フ一	戶
丶フ一丿	户
一丨一丿フフ丶	投
一丨一丿丨丶一一一丨一	推
一丨一丶一丶丿一	拉
丨フ一一丨フ一一一一丿丨	開
丨フ一一丨フ一一一一丿一一丨	開
丨フ一一丨フ一一フフ丶フフ丶フ丿丨丨一	關
丨フ一一丨フ一一フフ丶フフ丶フ丿丨一丨	關
一丨一丿フ丨フ一一	指
一丨一一フ丨フ一一	指
一丨一フ丿丨フ一一	指
フ一一一丨一丨フ一一	書
丿丨丨丿フ丶一丨丿丶	條
丿丨丨丿一丿丶一丨丿丶	條
丨フ一一一フ一一フ丿丶	眼
一丨フ一丨フフ丶フフ丶丨丿丶	緊
丨フ丶丿一丨一一丶丶丶丶丨一丨フ一	點
丨フ丶丿一一丨一丶丶丶丶丨一丨フ一	點
丶一一一丨フ一一一丨丨一丨フ丨一一	講
一一一一丨フ一一一丨丨一丨フ一丨一	講
丶一一一丨フ一一一丨丨一丨フ一丨一	講
丶丿一一丿丶丶フ丶	送
丿丶一一丿丶丶フ丶	送
丿丶一一丿丶丶丶フ丶	送
丿丶一一丿丶丶フフ丶	送
丶丿一一丿丶丶丶フ丶	送
丶丿一一丿丶丶フフ丶	送
丨フ一丨フ一丨一丶丿丨丶一一一丨一	雖
一丨丨一丨フ一一一丿丶丿丨丶一一一丨一	難
丿丿丿一丿丨フ一一一丿丶	須
丿丶丶フ一一フ丶丿一丨一フ丿丶	餓
丿丶一フ一一フ丶丿一丨一フ丿丶	餓
丿丶一フ一一フ丶丿一丨一フ丶丿	餓
丿丶一フ一一丨一一丿一丨一フ丿丶	餓
丿丶一フ一一丨一一丿一丨一フ丶丿	餓
丿丶丶フ一一フ丶丿一丨一フ丶丿	餓
丿丶丶フ一一丨一一丿一丨一フ丿丶	餓
丿丶丶フ一一丨一一丿一丨一フ丶丿	餓
丿フフ一一丶フ丶丶	急
丿一丶丿一丶フ一一一一丨	筆
一丨丨丿丨丿フ	花
一丨丨丿丨一フ	花
